name,ipv4-address,groups,color,tags
h_112.74.185.158_CVE-2021-44228,112.74.185.158,groupname,red,CVE-2021-44228_Log4J
h_112.74.34.48_CVE-2021-44228,112.74.34.48,groupname,red,CVE-2021-44228_Log4J
h_111.193.180.158_CVE-2021-44228,111.193.180.158,groupname,red,CVE-2021-44228_Log4J
h_111.28.189.51_CVE-2021-44228,111.28.189.51,groupname,red,CVE-2021-44228_Log4J
h_110.42.200.96_CVE-2021-44228,110.42.200.96,groupname,red,CVE-2021-44228_Log4J
h_109.70.150.139_CVE-2021-44228,109.70.150.139,groupname,red,CVE-2021-44228_Log4J
h_104.248.144.120_CVE-2021-44228,104.248.144.120,groupname,red,CVE-2021-44228_Log4J
h_104.200.138.39_CVE-2021-44228,104.200.138.39,groupname,red,CVE-2021-44228_Log4J
h_103.232.137.187_CVE-2021-44228,103.232.137.187,groupname,red,CVE-2021-44228_Log4J
h_103.107.198.109_CVE-2021-44228,103.107.198.109,groupname,red,CVE-2021-44228_Log4J
h_103.107.198.108_CVE-2021-44228,103.107.198.108,groupname,red,CVE-2021-44228_Log4J
h_103.4.30.79_CVE-2021-44228,103.4.30.79,groupname,red,CVE-2021-44228_Log4J
h_101.204.24.28_CVE-2021-44228,101.204.24.28,groupname,red,CVE-2021-44228_Log4J
h_101.71.38.231_CVE-2021-44228,101.71.38.231,groupname,red,CVE-2021-44228_Log4J
h_101.71.38.179_CVE-2021-44228,101.71.38.179,groupname,red,CVE-2021-44228_Log4J
h_101.71.37.219_CVE-2021-44228,101.71.37.219,groupname,red,CVE-2021-44228_Log4J
h_101.71.37.47_CVE-2021-44228,101.71.37.47,groupname,red,CVE-2021-44228_Log4J
h_92.223.89.187_CVE-2021-44228,92.223.89.187,groupname,red,CVE-2021-44228_Log4J
h_91.207.174.157_CVE-2021-44228,91.207.174.157,groupname,red,CVE-2021-44228_Log4J
h_91.207.173.119_CVE-2021-44228,91.207.173.119,groupname,red,CVE-2021-44228_Log4J
h_89.238.178.213_CVE-2021-44228,89.238.178.213,groupname,red,CVE-2021-44228_Log4J
h_89.187.161.35_CVE-2021-44228,89.187.161.35,groupname,red,CVE-2021-44228_Log4J
h_89.40.183.205_CVE-2021-44228,89.40.183.205,groupname,red,CVE-2021-44228_Log4J
h_89.38.69.136_CVE-2021-44228,89.38.69.136,groupname,red,CVE-2021-44228_Log4J
h_89.38.69.99_CVE-2021-44228,89.38.69.99,groupname,red,CVE-2021-44228_Log4J
h_86.109.208.194_CVE-2021-44228,86.109.208.194,groupname,red,CVE-2021-44228_Log4J
h_86.106.103.29_CVE-2021-44228,86.106.103.29,groupname,red,CVE-2021-44228_Log4J
h_84.17.42.118_CVE-2021-44228,84.17.42.118,groupname,red,CVE-2021-44228_Log4J
h_84.17.39.201_CVE-2021-44228,84.17.39.201,groupname,red,CVE-2021-44228_Log4J
h_82.102.31.170_CVE-2021-44228,82.102.31.170,groupname,red,CVE-2021-44228_Log4J
