name,ipv4-address,groups,color,tags
h_133.18.201.195_CVE-2021-44228,133.18.201.195,groupname,red,CVE-2021-44228_Log4J
h_198.98.62.150_CVE-2021-44228,198.98.62.150,groupname,red,CVE-2021-44228_Log4J
h_137.184.98.145_CVE-2021-44228,137.184.98.145,groupname,red,CVE-2021-44228_Log4J
h_45.248.77.142_CVE-2021-44228,45.248.77.142,groupname,red,CVE-2021-44228_Log4J
h_165.232.84.226_CVE-2021-44228,165.232.84.226,groupname,red,CVE-2021-44228_Log4J
h_121.46.29.34_CVE-2021-44228,121.46.29.34,groupname,red,CVE-2021-44228_Log4J
h_27.38.213.192_CVE-2021-44228,27.38.213.192,groupname,red,CVE-2021-44228_Log4J
h_138.197.167.229_CVE-2021-44228,138.197.167.229,groupname,red,CVE-2021-44228_Log4J
h_139.177.178.140_CVE-2021-44228,139.177.178.140,groupname,red,CVE-2021-44228_Log4J
h_134.209.153.239_CVE-2021-44228,134.209.153.239,groupname,red,CVE-2021-44228_Log4J
h_3.250.196.13_CVE-2021-44228,3.250.196.13,groupname,red,CVE-2021-44228_Log4J
h_170.210.45.163_CVE-2021-44228,170.210.45.163,groupname,red,CVE-2021-44228_Log4J
h_159.89.122.19_CVE-2021-44228,159.89.122.19,groupname,red,CVE-2021-44228_Log4J
h_147.182.150.23_CVE-2021-44228,147.182.150.23,groupname,red,CVE-2021-44228_Log4J
h_167.99.216.68_CVE-2021-44228,167.99.216.68,groupname,red,CVE-2021-44228_Log4J
h_139.177.178.19_CVE-2021-44228,139.177.178.19,groupname,red,CVE-2021-44228_Log4J
h_68.183.37.10_CVE-2021-44228,68.183.37.10,groupname,red,CVE-2021-44228_Log4J
h_188.126.89.151_CVE-2021-44228,188.126.89.151,groupname,red,CVE-2021-44228_Log4J
h_103.232.137.44_CVE-2021-44228,103.232.137.44,groupname,red,CVE-2021-44228_Log4J
h_137.184.98.176_CVE-2021-44228,137.184.98.176,groupname,red,CVE-2021-44228_Log4J
h_139.162.171.98_CVE-2021-44228,139.162.171.98,groupname,red,CVE-2021-44228_Log4J
h_188.166.102.47_CVE-2021-44228,188.166.102.47,groupname,red,CVE-2021-44228_Log4J
h_157.245.109.75_CVE-2021-44228,157.245.109.75,groupname,red,CVE-2021-44228_Log4J
h_137.184.138.79_CVE-2021-44228,137.184.138.79,groupname,red,CVE-2021-44228_Log4J
h_68.183.33.144_CVE-2021-44228,68.183.33.144,groupname,red,CVE-2021-44228_Log4J
h_82.102.25.253_CVE-2021-44228,82.102.25.253,groupname,red,CVE-2021-44228_Log4J
h_188.166.105.150_CVE-2021-44228,188.166.105.150,groupname,red,CVE-2021-44228_Log4J
h_82.102.31.170_CVE-2021-44228,82.102.31.170,groupname,red,CVE-2021-44228_Log4J
h_68.183.198.247_CVE-2021-44228,68.183.198.247,groupname,red,CVE-2021-44228_Log4J
h_167.71.218.228_CVE-2021-44228,167.71.218.228,groupname,red,CVE-2021-44228_Log4J
h_188.166.48.55_CVE-2021-44228,188.166.48.55,groupname,red,CVE-2021-44228_Log4J
h_137.184.96.227_CVE-2021-44228,137.184.96.227,groupname,red,CVE-2021-44228_Log4J
h_167.99.172.58_CVE-2021-44228,167.99.172.58,groupname,red,CVE-2021-44228_Log4J
h_68.183.186.237_CVE-2021-44228,68.183.186.237,groupname,red,CVE-2021-44228_Log4J
h_84.17.41.131_CVE-2021-44228,84.17.41.131,groupname,red,CVE-2021-44228_Log4J
h_137.184.128.175_CVE-2021-44228,137.184.128.175,groupname,red,CVE-2021-44228_Log4J
h_188.166.170.135_CVE-2021-44228,188.166.170.135,groupname,red,CVE-2021-44228_Log4J
h_47.251.46.249_CVE-2021-44228,47.251.46.249,groupname,red,CVE-2021-44228_Log4J
h_89.34.27.203_CVE-2021-44228,89.34.27.203,groupname,red,CVE-2021-44228_Log4J
h_185.245.86.86_CVE-2021-44228,185.245.86.86,groupname,red,CVE-2021-44228_Log4J
h_188.166.122.43_CVE-2021-44228,188.166.122.43,groupname,red,CVE-2021-44228_Log4J
h_185.220.101.27_CVE-2021-44228,185.220.101.27,groupname,red,CVE-2021-44228_Log4J
h_185.213.155.168_CVE-2021-44228,185.213.155.168,groupname,red,CVE-2021-44228_Log4J
h_137.184.106.119_CVE-2021-44228,137.184.106.119,groupname,red,CVE-2021-44228_Log4J
h_159.89.154.102_CVE-2021-44228,159.89.154.102,groupname,red,CVE-2021-44228_Log4J
h_159.48.55.216_CVE-2021-44228,159.48.55.216,groupname,red,CVE-2021-44228_Log4J
h_179.43.187.138_CVE-2021-44228,179.43.187.138,groupname,red,CVE-2021-44228_Log4J
h_139.59.224.7_CVE-2021-44228,139.59.224.7,groupname,red,CVE-2021-44228_Log4J
h_143.198.180.150_CVE-2021-44228,143.198.180.150,groupname,red,CVE-2021-44228_Log4J
h_68.79.17.59_CVE-2021-44228,68.79.17.59,groupname,red,CVE-2021-44228_Log4J
h_160.238.38.196_CVE-2021-44228,160.238.38.196,groupname,red,CVE-2021-44228_Log4J
h_104.248.144.120_CVE-2021-44228,104.248.144.120,groupname,red,CVE-2021-44228_Log4J
h_107.174.138.172_CVE-2021-44228,107.174.138.172,groupname,red,CVE-2021-44228_Log4J
h_212.192.216.30_CVE-2021-44228,212.192.216.30,groupname,red,CVE-2021-44228_Log4J
h_103.89.137.28_CVE-2021-44228,103.89.137.28,groupname,red,CVE-2021-44228_Log4J
h_159.89.48.173_CVE-2021-44228,159.89.48.173,groupname,red,CVE-2021-44228_Log4J
h_37.187.122.82_CVE-2021-44228,37.187.122.82,groupname,red,CVE-2021-44228_Log4J
h_172.83.40.124_CVE-2021-44228,172.83.40.124,groupname,red,CVE-2021-44228_Log4J
h_167.99.83.42_CVE-2021-44228,167.99.83.42,groupname,red,CVE-2021-44228_Log4J
h_165.22.213.246_CVE-2021-44228,165.22.213.246,groupname,red,CVE-2021-44228_Log4J
h_41.77.136.114_CVE-2021-44228,41.77.136.114,groupname,red,CVE-2021-44228_Log4J
h_45.136.5.245_CVE-2021-44228,45.136.5.245,groupname,red,CVE-2021-44228_Log4J
h_165.227.32.109_CVE-2021-44228,165.227.32.109,groupname,red,CVE-2021-44228_Log4J
h_172.105.249.93_CVE-2021-44228,172.105.249.93,groupname,red,CVE-2021-44228_Log4J
h_67.207.93.79_CVE-2021-44228,67.207.93.79,groupname,red,CVE-2021-44228_Log4J
h_167.71.14.192_CVE-2021-44228,167.71.14.192,groupname,red,CVE-2021-44228_Log4J
h_167.71.67.189_CVE-2021-44228,167.71.67.189,groupname,red,CVE-2021-44228_Log4J
h_147.182.213.12_CVE-2021-44228,147.182.213.12,groupname,red,CVE-2021-44228_Log4J
h_167.114.24.16_CVE-2021-44228,167.114.24.16,groupname,red,CVE-2021-44228_Log4J
h_101.35.154.34_CVE-2021-44228,101.35.154.34,groupname,red,CVE-2021-44228_Log4J
h_105.96.40.117_CVE-2021-44228,105.96.40.117,groupname,red,CVE-2021-44228_Log4J
h_178.62.61.47_CVE-2021-44228,178.62.61.47,groupname,red,CVE-2021-44228_Log4J
h_134.209.24.42_CVE-2021-44228,134.209.24.42,groupname,red,CVE-2021-44228_Log4J
h_188.166.45.93_CVE-2021-44228,188.166.45.93,groupname,red,CVE-2021-44228_Log4J
h_172.104.235.191_CVE-2021-44228,172.104.235.191,groupname,red,CVE-2021-44228_Log4J
h_146.56.131.161_CVE-2021-44228,146.56.131.161,groupname,red,CVE-2021-44228_Log4J
h_142.93.151.166_CVE-2021-44228,142.93.151.166,groupname,red,CVE-2021-44228_Log4J
h_138.68.155.222_CVE-2021-44228,138.68.155.222,groupname,red,CVE-2021-44228_Log4J
h_199.249.230.117_CVE-2021-44228,199.249.230.117,groupname,red,CVE-2021-44228_Log4J
h_164.90.199.238_CVE-2021-44228,164.90.199.238,groupname,red,CVE-2021-44228_Log4J
h_161.35.80.240_CVE-2021-44228,161.35.80.240,groupname,red,CVE-2021-44228_Log4J
h_205.185.113.72_CVE-2021-44228,205.185.113.72,groupname,red,CVE-2021-44228_Log4J
